count	reward_sum	squared_reward_sum	length
69	-98.05379310597665	10003.063451194503	96
70	-121.80574585639927	10007.105464513237	134
71	-98.07216022547894	10003.47485120265	123
72	-126.01723160716148	10008.16003441481	175
73	-55.31924438052662	37.36097766878722	2000
74	-95.5345972737889	10002.262352581261	67
75	-95.2759612358706	10001.515865857078	67
76	-96.38060468032289	10002.852015660832	70
77	-96.40150529174088	10002.425477194322	68
78	-97.28160275125038	10002.167781481408	85
79	-97.71207807768354	10002.48288816691	69
80	-99.3877260246942	10002.596936627966	75
81	-97.89875333154198	10003.258757701544	65
82	-98.26922030692509	10001.876653294152	75
83	-99.24579657848423	10002.261968542152	82
84	-95.75896817217728	10002.868441329669	77
85	-94.9801991431613	10002.136679036963	94
86	-98.20389782590982	10001.927690771843	127
87	-96.44902690238385	10001.241786110055	89
88	-103.12869400082495	10002.422466027465	218
89	-94.84688994279092	10001.747035925335	79
90	-98.18922640443135	10000.966318833169	88
91	-122.71002617991486	10007.047527286266	1138
92	-96.51090021017573	10001.37401896678	96
93	-96.19367323220443	10000.96091244339	90
94	-96.88120038750931	10001.208930933497	82
95	-95.27167555647763	10001.98283491144	79
96	-93.49477057984711	10001.848973281138	86
97	-96.69773264744816	10000.942050171592	86
98	-148.69199640371502	10007.441366389223	1778
99	-104.87901952906786	10003.747622259445	582
100	-114.62434446260436	10006.27285691086	907
101	-95.41633565348037	10005.455179764613	640
102	-84.5767237052664	10003.907312086361	458
103	-128.40340976217595	10010.323210391933	1621
104	-87.63480566531047	10003.992471339776	168
105	-96.95112419567384	10003.152740021778	200
106	-111.54367946229615	10007.742736562932	52
107	-84.00288541729302	10006.031535219658	258
108	-93.18388004990432	10002.250358712714	97
109	-88.97577246637212	10005.174251980363	206
110	-90.08703695752286	10006.96715490135	345
111	-96.1853715634308	10003.390026084424	100
112	-88.12697907232268	10003.905748276176	90
113	-82.73599568020948	10007.77318788097	113
114	-88.49028262361081	10003.57505794065	119
115	-87.58367309079917	10006.967173850788	155
116	-86.43277206806606	10005.35968758586	90
117	-90.16943915130975	10004.752252543494	109
118	-85.30923832236175	10004.281788077862	99
119	-94.69982587527221	10001.431775792007	86
120	-84.9150664518876	10004.464691766798	106
121	-62.572194482815725	10013.247410419026	528
122	-86.49406660223217	10003.58334225391	137
123	-88.04811798510296	10003.410747616184	157
124	-96.44149136102925	10002.686480346778	103
125	-93.93867176522946	10003.069612068664	148
126	-90.43931823239522	10003.159624818962	97
127	-90.98433976283347	10002.452943439941	94
128	-58.23417838530867	10014.395007141204	226
129	-86.75376465899518	10005.266346560074	209
130	-95.69093742626976	10002.481658484832	86
131	-84.02932641115869	10004.124674630277	211
132	-76.23231237536825	10007.153118219028	233
133	-106.0382179977214	10001.844981316945	51
134	-91.30711092821616	10005.863930006783	305
135	-90.60752395750667	10003.432162759815	100
136	-86.97332618140572	10003.892241820118	134
137	-94.22088373106183	10002.295542061318	127
138	-85.30097080271565	10004.387754402653	163
139	-88.71713333859202	10002.548876987536	227
140	-86.26573654364097	10003.290508138265	207
141	-84.53910868721968	10004.23071903861	283
142	-77.0285848998604	10005.787139701339	307
143	-85.21218858200214	10005.18265544462	285
144	-84.68765829389967	10004.228704105075	193
145	-84.42572994866278	10006.008104940154	367
146	-87.0153364358913	10003.554992981153	125
147	-91.51783888425584	10003.041160359158	150
148	-87.77653948241954	10004.52451604267	153
149	-85.37033588541831	10004.866058397041	195
150	-86.71612445062907	10004.926458428235	236
151	-75.24991634964229	10006.295131017223	212
152	-87.43943473466281	10003.670578623343	207
