count	reward_sum	squared_reward_sum	length
96	-87.55577163980908	10006.921002403016	100
97	-87.89192845194985	10006.369929750754	103
98	-100.12542614837754	10002.836731248883	101
99	-99.59594769010091	10005.216180113548	121
100	-84.68111320700298	10008.317987855298	112
101	-86.35510903119624	10007.328455640418	103
102	-95.65011660390333	10005.589410744516	86
103	-96.21273882836547	10005.291376565317	71
104	-95.30383085991672	10004.04412816408	106
105	-100.26904081218598	10003.510499478354	72
106	-91.28550656155687	10005.97136272798	107
107	-95.94322220672599	10005.251407850488	72
108	-84.39528133378747	10008.831546727966	114
109	-96.57607770741534	10005.194841431663	75
110	-115.09616766894246	10005.177832481093	316
111	-98.10806445605324	10003.637572591455	53
112	-96.55128422805036	10006.322500579525	100
113	-97.09684282572822	10003.696763003789	88
114	-96.09371240337771	10005.610056764777	79
115	-96.20386326760654	10005.876243084364	92
116	-97.10674254085777	10003.857869715674	69
117	-92.63276054024169	10005.49656003482	127
118	-96.93859003214435	10003.989335429937	55
119	-95.38762010763665	10006.052468925292	118
120	-97.13856680303483	10004.40935090965	63
121	-98.37948559552825	10003.240172418631	55
122	-95.25298334356837	10006.56307308967	182
123	-110.41663566982285	10002.091711283208	82
124	-89.10704296766954	10007.7173529219	103
125	-97.54606734969798	10003.167459036851	56
126	-98.86044089699908	10003.340579190128	69
127	-99.12883027618521	10003.899605580162	81
128	-98.87324033104181	10002.542630683423	53
129	-97.46363224241772	10004.578302332473	61
130	-99.14515928488599	10002.811737193468	131
131	-96.59814475213028	10005.328336473547	75
132	-94.29657650922579	10005.707045303901	101
133	-95.68032599535191	10005.271691957729	70
134	-123.65567416091025	10004.040536131379	195
135	-98.33674206743783	10002.653364417632	52
136	-90.0857690575919	10006.9323256964	118
137	-94.89097957720725	10006.018311327893	77
138	-84.81557609414699	10007.627022356477	113
139	-82.35097241477679	10009.48625374874	123
140	-95.63682607165963	10004.694839707567	65
141	-97.91356117636623	10004.071137368257	58
142	-91.9766866737989	10005.657532922449	104
143	-97.97687153423304	10003.576139506204	55
144	-119.42897739134165	10005.022343602624	110
145	-100.44944248021825	10004.149902523299	73
146	-96.01259453140062	10005.152907288266	64
147	-105.22632251619079	10004.067426373736	79
148	-82.67590437461587	10009.350593138026	111
149	-96.47836446935018	10005.07800256175	69
150	-86.93118500891106	10006.988130757998	131
151	-95.52348466854247	10005.57463049659	86
152	-97.70921072370103	10004.289929778537	55
153	-86.88207153720796	10008.074672444516	130
154	-108.74310534285159	10001.813231747241	59
155	-103.72092978224462	10003.442014955132	61
156	-101.82030451842452	10003.756346225817	74
157	-114.60640746572693	10002.99232101099	88
158	-103.66201576406472	10004.445849206826	69
159	-102.70320117148918	10003.036374257574	62
160	-102.70109923061086	10002.915648413229	65
161	-102.63975578564548	10002.924402688863	67
162	-89.11529072998144	10006.058254703292	95
163	-90.41556407056387	10005.07896961559	83
164	-83.2867765784871	10009.670722215844	154
165	-96.34189979491795	10005.063752760872	98
166	-86.35827197992023	10007.0226025029	104
167	-99.05477569390665	10004.039847455757	62
168	-97.02185633839146	10004.645581389494	73
169	-99.72206636962862	10001.453533379146	45
170	-98.65393035385117	10004.04260616731	60
171	-96.09320976126621	10004.896557815278	67
172	-84.07474748835064	10008.316604919673	120
173	-86.86808326353332	10005.131038883745	117
174	-97.16109360784922	10004.190603028706	65
175	-85.17890424741825	10006.46436754393	125
176	-99.03020764195095	10003.518335237975	62
177	-93.21503154341848	10003.662284823788	75
178	-97.11642799446187	10003.851579277254	62
179	-98.62516738207125	10004.063484590173	63
180	-89.43473556838494	10003.91578330466	119
181	-89.1468777037714	10005.471829877439	85
182	-90.9752306023266	10004.168567166624	76
183	-83.96140153605025	10008.517547459227	106
184	-93.17591922976573	10004.380843971496	77
185	-88.36069399051115	10004.814619745655	104
186	-85.5458427366992	10004.99425680596	128
187	-81.20417282484489	10008.358629980099	163
188	-92.07570738039567	10005.346837563131	103
189	-69.01716149217334	10008.975269368397	279
190	-74.48336671505619	10009.398734003606	204
191	-83.51958195629123	10006.720788351993	103
192	-85.48598848994031	10006.805464965819	94
193	-81.85800959514827	10006.813564366514	157
194	-85.76355143882283	10006.39156218717	161
195	-84.4831941046524	10007.243610896301	98
196	-101.2085044672719	10004.25198458394	171
197	-94.67842037377929	10002.714962190925	162
198	-78.96212582449336	10007.656369699574	190
199	-108.88321418249333	10004.430969274887	774
200	-85.66539459017802	10005.622544183303	130
201	-78.2276261342074	10007.54806593276	173
202	-86.72833399764222	10004.888639033821	132
203	-74.6500178046927	10008.86676194811	173
204	-77.38403756722036	10008.030821862169	145
205	-86.75031159149985	10005.461742814567	127
206	-79.76756605813853	10008.246942142905	138
207	-90.59547265487885	10003.779992182419	105
208	-82.65676911771962	10005.811780498261	149
209	-85.71370835001386	10005.011992937589	131
210	-90.11842779657854	10004.303224535317	157
211	-80.42199597451227	10007.412975976185	170
212	-81.20904455696746	10008.616508756168	123
213	-82.72944487477673	10006.252739824899	144
214	-81.57591125130344	10006.596829722608	134
215	-88.07256507246397	10004.406858450056	120
216	-81.25086089520659	10007.540037669829	146
217	-90.0708053855846	10005.093521785126	90
218	-87.99029056539172	10005.475250230058	105
219	-90.5532542608888	10003.798520222863	96
220	-89.20469581901082	10004.165650561408	128
221	-89.69830276683699	10005.67387838998	92
222	-90.26779273717315	10003.496619596475	128
223	-86.63316300883362	10005.47832256683	128
224	-91.65860189601752	10004.682802621755	83
225	-90.32876954630402	10003.605180208238	118
226	-89.99177159360133	10003.831433543424	106
227	-86.6131726639968	10006.534598960618	114
228	-85.09681584375865	10005.810191177578	127
229	-88.7515230611305	10004.654338402263	105
230	-95.76866326718583	10001.367425477318	121
231	-89.62122041483072	10003.657319444614	110
232	-88.51804451849571	10004.652255944893	113
233	-85.89140515509229	10005.48661835554	119
234	-83.66694855218233	10007.384361093655	126
235	-84.93446930457203	10005.69504953083	131
236	-95.425209769508	10002.378816036364	90
237	-94.31735544992429	10001.730368151459	99
238	-86.85434605901912	10005.098587016173	123
239	-87.34072653992095	10005.037458355835	106
240	-83.46947283180221	10006.512821432487	125
241	-88.98860189110408	10003.351537385826	103
242	-92.77290547184735	10002.077965928933	97
243	-85.62245663894174	10004.737758122175	113
244	-91.80795982902877	10002.640557695895	97
245	-87.83413234446884	10004.252829328365	109
246	-86.5026460608678	10004.789691823808	116
247	-88.31660552834012	10004.229208479508	108
248	-85.32780625146009	10006.035674248806	107
249	-89.87956076128263	10003.578358896877	105
