count	reward_sum	squared_reward_sum	length
0	-116.03088512122298	10005.978092135916	69
1	-100.33647552288379	10004.892869055215	130
2	-61.632966288428555	12.793010404097272	2000
3	-97.46268453417484	10002.656177525629	95
4	-70.87769850792425	14.279609902448453	2000
5	-72.58604929935683	16.248738885135328	2000
6	-65.12572465247267	14.368389153298516	2000
7	-98.92234485957894	10004.9078729025	110
8	-65.98756198325876	10.797948765406186	2000
9	-76.14260461046632	15.973425215153748	2000
10	-101.02941959343913	10002.061871580292	70
11	-103.20058138504004	10006.09653787778	73
12	-64.76344387295039	10.453475676884386	2000
13	-59.983163175901296	11.533224335704693	2000
14	-60.01436948981614	10.29354478004764	2000
15	-56.84869142899729	10.359703273675859	2000
16	-58.44457549602288	6.266373927779419	2000
17	-103.16550082894679	10001.333478457747	70
18	-108.58879593961701	10002.461592546115	102
19	-103.9300067104129	10006.226248433724	422
20	-101.85357904195575	10002.19078357891	167
21	-115.78114635310214	10003.000340807972	122
22	-113.64240414849571	10002.690395945505	97
23	-88.02504127476989	10011.145621248737	278
24	-96.96805935369015	10003.500614384371	88
25	-97.72946719194572	10002.11958413132	78
26	-93.8851973500187	10007.057426405168	125
27	-99.17416380655374	10002.890716668813	77
28	-96.29177081684644	10002.466442881232	118
29	-100.48389962410685	10002.766102034493	77
30	-93.4874767084651	10006.434415658765	129
31	-95.13524340906592	10004.116139962753	198
32	-98.39611986820874	10006.409762460531	198
33	-99.41392140964491	10003.573487821419	105
34	-95.8352732426083	10004.442626347542	124
35	-80.92438631535232	10010.39607454634	229
36	-106.80424068129311	10003.526416719338	115
37	-98.91581316246558	10002.907449795764	57
38	-105.89621886745421	10013.83758954994	388
39	-91.31149915693793	10002.95109688368	96
40	-91.81901260154626	10003.10435112597	130
41	-94.03787759140421	10003.015201543996	148
42	-97.71810109060145	10001.768933342906	129
43	-94.57507954165735	10002.849789468108	177
44	-97.80806962447465	10001.317314308526	84
45	-25.380977222676464	2.823765300475541	2000
46	-113.24651764478863	10006.837843031586	1119
47	-96.31270398196143	10002.791610197884	135
48	-114.91313312524643	10009.028809487878	813
49	-113.96103561565131	10006.928523188388	830
50	-86.17519304159097	10005.636008618587	146
51	-93.3569666212087	10004.215220097278	128
52	-100.7826765851633	10004.429828969734	80
53	-121.9090008752315	10018.241600704347	182
54	-101.25542656589951	10010.024589130915	156
55	-96.85584545630714	10003.470403964831	121
56	-88.61769082985322	10006.189080581004	119
57	-93.41581750769245	10002.343911762242	96
58	-71.54650187256411	10010.137802400599	240
59	-47.62021083279269	10019.111110626885	338
60	-84.13058512117263	10007.034811907788	142
61	-86.71127050271863	10008.559727831203	139
62	-109.28835403237554	10002.155566577183	49
63	-71.74521681260867	10013.827790134344	143
64	-27.462975675729396	10034.22296502396	234
65	-89.00618990734507	10008.647844028363	182
66	-101.13671500167844	10003.284013892817	71
67	-35.93295777255871	10018.986599258955	630
68	-63.00207112544272	10016.62059070048	256
69	-70.86415423339507	10011.310446662283	265
70	-100.09643186723433	10002.751062633635	124
71	-53.18473889785972	10013.81548370096	365
72	7.599603240636398	10039.672614131508	626
73	155.86701927929724	10081.877882920995	1256
74	305.2154438890437	113.49966694243366	1071
75	313.5040855764622	130.25519941134775	906
76	309.21982881728326	117.40561322699988	1037
77	110.75838297860014	10087.958524241976	614
78	312.93936489129794	123.90477519778624	929
79	313.28943346554286	125.8088028582333	916
80	313.0557374211305	130.09733602883688	878
81	315.33929556978944	143.85889748204923	819
82	47.02878850581803	10068.691207010264	417
83	-14.515209365456158	10039.212490890783	261
84	-7.402210754994542	10042.26699886033	265
85	74.47533378208433	10073.895574462176	526
86	311.30692543042176	121.57035732787475	968
87	-28.3561512595911	10033.022720854204	246
88	314.03216811026056	127.84434372602588	888
89	-20.747126761473993	10034.212419193367	261
90	317.45961243464046	146.85818758223846	782
91	47.22552987126846	10065.755239590819	421
92	-91.09005959464051	10003.658986400154	76
93	316.6700919354048	139.72150540811347	807
94	-104.83804384575691	10000.81465887644	50
95	316.85960835234033	142.78549917956667	796
96	316.2725001727628	136.76388435899705	852
97	319.4410801823526	150.3038112529463	780
98	318.75469354060255	143.21167923064263	823
99	-19.70761521763714	10039.15173752682	243
100	99.99987488838244	10101.70920594147	481
101	320.2588999118051	158.16797429365107	734
102	46.88556781167529	10071.912570653174	377
103	321.2393981744172	156.42585556195505	756
104	137.8374217401024	10113.009783303552	587
105	318.759256132251	153.76348031834902	751
106	320.55948650354566	160.03024902671854	734
107	321.5429094255569	160.38156746707958	715
108	106.01924870258586	10103.92648338051	492
109	322.6444775534885	156.40945748440714	747
110	322.16705616226665	156.25232300239097	730
111	322.2711599525174	158.47924418564065	729
112	324.55079199579046	158.97991554806873	726
113	323.7787352462463	163.21099561473704	711
114	324.3769100134551	159.96553052631694	716
115	324.8831199583983	159.59003486637295	715
116	-96.80166079936635	10002.1474445123	63
117	324.66788515173965	163.31069324485307	706
118	324.1792909717943	156.82658122942348	724
119	324.99396401291455	162.86260307751127	708
120	325.5445880317155	164.4536764994739	699
121	325.33798870637236	167.08119411030324	686
122	325.3890139103882	170.9069685718384	688
123	325.75627222201905	171.68964993005085	676
124	325.00215698513017	168.44311125676052	689
125	-93.68979511200668	10002.986181748209	69
126	325.76464362486263	175.62383763193586	669
127	324.2253329056678	176.1979304211774	648
128	325.7410078369405	175.1554458579415	670
129	326.29411322994304	169.241994844726	681
130	108.93693740520311	10107.58915993906	459
131	327.11207403266746	180.4598682048896	646
132	326.50765606973897	176.26386150840523	652
133	326.5172152753326	175.40828296649082	661
134	327.09094355553674	169.55504996643452	683
135	327.17465360657036	177.32314238697683	659
136	326.92510561813594	174.66150548588232	673
